Reference	EMN001	TAF017	VLC001
k141_167592	3	43	5008
k141_14838	35	5	3857
k141_153374	0	122	12011
k141_22158	0	2	2192
k141_11472	9	48	1432
k141_43563	19	4	4298
k141_125136	14	55	10664
k141_203343	0	36	10070
k141_139247	2515	0	0
k141_171104	675	867	8183
k141_22164	0	0	5567
k141_4331	0	68	11619
k141_11485	93	58	6578
k141_167615	3135	2	0
k141_217469	3096	19087	0
k141_57392	602	368	837
k141_189067	399	813	5592
k141_153380	106	69	5036
k141_61247	595	268	3782
k141_107230	3114	0	0
k141_157354	11	50	3528
k141_167620	0	0	1462
k141_54125	222	98	9557
k141_192547	0	38	5382
k141_14887	10	45	4966
k141_93007	3124	0	1
k141_43597	41	34	4477
k141_135687	0	4	9649
k141_11501	0	0	1935
k141_149953	162	168	1900
k141_189094	0	1	7511
k141_46996	777	490	1225
k141_107255	5	3	2819
k141_96819	2390	9	2293
k141_78930	372	126	9514
k141_203401	7	33	9315
k141_36537	1	4	1602
k141_132373	3337	19902	0
k141_89616	0	3	1080
k141_114261	0	0	1200
k141_96823	0	2	1009
k141_143054	0	45	6242
k141_178382	8	15	3164
k141_199717	0	2	1870
k141_118062	0	21	3141
k141_1214	0	0	777
k141_104002	3	85	11907
k141_100304	185	186	7821
k141_75612	5	92	1687
k141_160676	30	55	9319
k141_22247	49	450	5980
k141_96827	88	171	8939
k141_50632	17	7	2129
k141_121553	2582	0	0
k141_36562	0	4	1098
k141_157386	90	192	26295
k141_167684	940	572	1426
k141_160692	511	412	792
k141_192627	736	403	4846
k141_32925	8	0	2454
k141_185522	1	26	4186
k141_164150	489	157	4091
k141_82510	0	2	1027
k141_14935	609	224	4869
k141_210363	4	32	3552
k141_178406	0	60	4011
k141_125249	1056	717	24456
k141_189165	86	41	3644
k141_96840	242	182	2206
k141_196219	3	40	3283
k141_146501	0	47	6391
k141_132426	684	185	1702
k141_185525	5	72	4431
k141_75628	21	12	10532
k141_128690	8	17	6089
k141_210369	276	266	11142
k141_78995	13	9	1996
k141_43707	2714	15828	0
k141_150008	1481	562	7683
k141_32951	121	16	2599
k141_14958	4	16	3283
k141_8070	100	10	2714
k141_132456	2882	0	0
k141_139439	1	1	1811
k141_22326	183	249	9694
k141_199787	379	174	2728
k141_68446	255	420	11808
k141_125281	4830	59	3859
k141_175096	6	43	1411
k141_143163	3	0	2133
k141_100317	11	133	24350
k141_71990	1	26	3387
k141_213966	336	289	9799
k141_89711	538	371	998
k141_18928	8	76	2093
k141_104137	191	19	2394
k141_11598	11143	124	11760
k141_4489	12	104	2635
k141_47114	0	2	1179
k141_75679	1	3	1393
k141_36632	13	3	4099
k141_153559	2	0	2209
k141_132460	0	0	12248
k141_206777	423	212	3327
k141_71997	0	0	1990
k141_8072	177	101	14480
k141_146576	0	65	5298
k141_93148	133	72	6659
k141_118153	106	62	4397
k141_22362	79	198	1505
k141_68480	0	9	670
k141_160782	0	0	3341
k141_64934	16	55	10140
k141_96941	24	38	5971
k141_89731	276	302	3591
k141_175132	2702	0	0
k141_153570	53	28	5143
k141_192753	9	34	1993
k141_171310	4324	86	4712
k141_4526	60	22	2499
k141_82612	16	24	8637
k141_206786	1	32	6148
k141_36652	3	6	4182
k141_213974	427	731	5159
k141_139475	6775	42	5935
k141_175139	243	285	2807
k141_25683	1603	1052	149811
k141_224570	0	26	4990
k141_33023	88	47	6227
k141_1380	808	612	1236
k141_150092	1	0	1766
k141_111240	2075	738	15435
k141_4539	150	177	4145
k141_93174	57	23	2638
k141_104194	1	0	1480
k141_199853	23	54	6279
k141_175148	13	6	1144
k141_89766	1807	10729	0
k141_160821	147	258	3687
k141_64973	14	17	5948
k141_143228	724	94	10161
k141_40443	679	481	4414
k141_214006	296	316	11354
k141_139494	14	216	3296
k141_185641	8	74	11556
k141_203643	5	1	1657
k141_132526	5177	31	4874
k141_72058	4	67	6529
k141_8161	0	3	935
k141_192813	6	3	3355
k141_107436	0	1	12725
k141_224596	7	11	1959
k141_128810	2994	18145	0
k141_221132	0	0	4965
k141_15057	7	0	2365
k141_36717	5021	0	0
k141_178568	5	180	3301
k141_25732	9	51	2093
k141_111297	55	8	5971
k141_185665	0	1	827
k141_125379	1	2	19624
k141_50845	2693	16798	0
k141_54393	355	400	7551
k141_93211	0	17	4056
k141_157658	134	46	4119
k141_146682	3	12	2010
k141_43893	4	0	2792
k141_29465	13	1	9050
k141_125398	135	5	2778
k141_182223	98	767	9585
k141_89836	1	1	13445
k141_210537	59	27	13513
k141_68630	709	593	1352
k141_121768	37	21	1315
k141_139549	0	0	958
k141_217840	166	436	1814
k141_75832	7064	32	6492
k141_114359	658	481	61613
k141_189454	1	14	4251
k141_175257	9	40	9220
k141_224637	0	0	2346
k141_47235	2	2	3064
k141_167847	475	302	36077
k141_118319	3	2	8839
k141_185691	17	34	7559
k141_43924	785	331	4107
k141_214043	14	100	15964
k141_40554	86	120	12891
k141_93262	0	1	900
k141_143347	6	63	5565
k141_206880	55	41	10676
k141_29485	2	1	5223
k141_178621	461	171	2892
k141_33207	0	0	1931
k141_22510	1379	510	12315
k141_89886	13	6	2032
k141_175284	40	35	3948
k141_43929	3217	19101	0
k141_160935	58	28	3371
k141_189475	1190	502	5643
k141_111405	7	8	4017
k141_139578	0	0	963
k141_175286	25	2	1688
k141_157759	4	6	4555
k141_33222	193	293	10211
k141_82799	461	318	9696
k141_182294	49	28	3405
k141_114402	7	20	3174
k141_4735	2	3	2642
k141_200006	18	379	4854
k141_43934	0	0	5190
k141_221207	6	1	8982
k141_146708	3	78	14960
k141_93284	681	251	4540
k141_121806	25	28	3484
k141_203786	165	234	1872
k141_79245	11	56	7792
k141_182300	6	15	4648
k141_61749	1	0	891
k141_75894	544	182	4900
k141_22544	7	3	1712
k141_43938	0	0	1159
k141_82813	16	16	5518
k141_153765	2	0	996
k141_114411	3	1	1662
k141_47239	14	17	18156
k141_175339	145	395	1832
k141_214100	959	509	1384
k141_33252	540	175	4011
k141_107542	3	17	4808
k141_22553	471	147	2708
