SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	ClusterCenterDist
0085	VLC_EMN_TAF_min10k_sorted_md_k141_206786_n6181	6181	1.0	0.0	0.0	0.461
0086	VLC_EMN_TAF_min10k_sorted_md_k141_106957_n1999	1999	1.0	0.0	0.0	0.164
0087	VLC_EMN_TAF_min10k_sorted_md_k141_1631_n1745	1745	1.0	0.0	0.0	0.2296
0088	VLC_EMN_TAF_min10k_sorted_md_k141_89836_n13447	13447	1.0	0.0	0.0	0.1653
0089	VLC_EMN_TAF_min10k_sorted_md_k141_138239_n5435	5435	1.0	0.0	0.0	0.1287
0090	VLC_EMN_TAF_min10k_sorted_md_k141_44421_n5680	5680	1.0	0.0	0.0	0.1173
0091	VLC_EMN_TAF_min10k_sorted_md_k141_180260_n5871	5871	1.0	0.0	0.0	0.1507
0092	VLC_EMN_TAF_min10k_sorted_md_k141_21105_n2371	2371	1.0	0.0	0.0	0.2053
0093	VLC_EMN_TAF_min10k_sorted_md_k141_105502_n1936	1936	1.0	0.0	0.0	0.2583
0094	VLC_EMN_TAF_min10k_sorted_md_k141_209844_n2371	2371	1.0	0.0	0.0	0.2291
0095	VLC_EMN_TAF_min10k_sorted_md_k141_8387_n4077	4077	1.0	0.0	0.0	0.1513
0096	VLC_EMN_TAF_min10k_sorted_md_k141_206240_n17398	17398	1.0	0.0	0.0	0.3686
0097	VLC_EMN_TAF_min10k_sorted_md_k141_184590_n4900	4900	1.0	0.0	0.0	0.0797
0098	VLC_EMN_TAF_min10k_sorted_md_k141_82813_n5549	5549	1.0	0.0	0.0	0.1711
0099	VLC_EMN_TAF_min10k_sorted_md_k141_146501_n6438	6438	1.0	0.0	0.0	0.0771
0100	VLC_EMN_TAF_min10k_sorted_md_k141_188210_n1548	1548	1.0	0.0	0.0	0.2426
0101	VLC_EMN_TAF_min10k_sorted_md_k141_155907_n3669	3669	1.0	0.0	0.0	0.1617
0102	VLC_EMN_TAF_min10k_sorted_md_k141_3078_n1750	1750	1.0	0.0	0.0	0.1927
0103	VLC_EMN_TAF_min10k_sorted_md_k141_183031_n1053	1053	1.0	0.0	0.0	0.4486
0104	VLC_EMN_TAF_min10k_sorted_md_k141_180008_n1845	1845	1.0	0.0	0.0	0.2619
0105	VLC_EMN_TAF_min10k_sorted_md_k141_60552_n9995	9995	1.0	0.0	0.0	0.1766
0106	VLC_EMN_TAF_min10k_sorted_md_k141_33898_n3822	3822	1.0	0.0	0.0	0.1151
0107	VLC_EMN_TAF_min10k_sorted_md_k141_36632_n4111	4111	1.0	0.0	0.0	0.0928
0108	VLC_EMN_TAF_min10k_sorted_md_k141_194893_n4766	4766	1.0	0.0	0.0	0.1826
0109	VLC_EMN_TAF_min10k_sorted_md_k141_153792_n2679	2679	1.0	0.0	0.0	0.1844
0110	VLC_EMN_TAF_min10k_sorted_md_k141_214564_n3081	3081	1.0	0.0	0.0	0.1835
0111	VLC_EMN_TAF_min10k_sorted_md_k141_207474_n14387	14387	1.0	0.0	0.0	0.0657
0112	VLC_EMN_TAF_min10k_sorted_md_k141_107613_n8332	8332	1.0	0.0	0.0	0.1369
0113	VLC_EMN_TAF_min10k_sorted_md_k141_144637_n4295	4295	1.0	0.0	0.0	0.1279
0114	VLC_EMN_TAF_min10k_sorted_md_k141_150092_n1767	1767	1.0	0.0	0.0	0.273
