Reference	EMN001	PYK001	TAF017	VLC001
k141_99788	0	0	2	812
k141_103431	0	0	0	859
k141_145970	13	0	3	1680
k141_106841	27	0	32	2073
k141_209844	0	0	0	2372
k141_160160	0	0	0	2608
k141_128175	0	0	0	594
k141_50104	7	0	53	6027
k141_163663	5	0	2	1067
k141_46463	5	0	23	1590
k141_121107	8	0	33	6680
k141_57101	2023	0	0	0
k141_3878	4	0	3	1816
k141_7476	0	0	277	2597
k141_103445	41	0	82	3010
k141_185099	0	0	0	718
k141_167283	12	0	3	1324
k141_96248	0	0	0	1011
k141_224048	2	0	5	1348
k141_156801	0	0	0	528
k141_188621	0	0	0	562
k141_43016	47	0	51	2644
k141_202865	2772	0	0	1
k141_110514	4	0	21	4933
k141_53677	4	0	30	1994
k141_39620	0	0	19	1307
k141_195787	291	0	185	3564
k141_131848	4	0	5	361
k141_18244	2	0	34	2907
k141_149566	1	0	9	3785
k141_153063	0	0	0	1950
k141_213379	0	0	2	983
k141_209857	0	0	0	670
k141_89186	0	0	0	558
k141_14516	87	0	109	4286
k141_192145	70	0	39	1113
k141_170787	1	0	0	474
k141_21766	3	0	0	1145
k141_124755	5	0	0	5905
k141_35933	68	0	6	915
k141_181468	396	0	609	6015
k141_89188	1	0	3	866
k141_138876	271	0	192	6050
k141_11144	4	0	5	291
k141_3898	0	0	0	981
k141_92659	89	0	52	4460
k141_174524	2	0	2	1280
k141_110519	13	0	4	3549
k141_46490	25	0	0	1068
k141_633	17	0	10	995
k141_32447	0	0	0	607
k141_18268	0	0	17	3338
k141_28740	104	0	139	3700
k141_181485	0	0	0	551
k141_202892	1	0	1	545
k141_43047	21	0	2	2231
k141_142514	26	0	13	1970
k141_188630	281	0	334	3026
k141_21788	0	0	0	412
k141_160193	0	0	2	2332
k141_53703	3	0	1	2202
k141_92662	1771	0	0	0
k141_60763	108	0	155	1384
k141_192168	64	0	239	2895
k141_177949	0	0	0	11913
k141_85544	23	0	0	265
k141_110534	72	0	64	1826
k141_217108	3	0	6	340
k141_89221	19	0	33	2913
k141_142527	148	0	70	2001
k141_224081	23	0	3	789
k141_21796	239	0	177	422
k141_103490	125	0	97	1495
k141_18275	0	0	0	629
k141_50167	3	0	19	626
k141_131920	0	0	4	946
k141_110536	5	0	2	2063
k141_39682	11	0	2	964
k141_135346	6	0	6	2509
k141_43067	24	0	2	1262
k141_156847	175	0	259	1997
k141_195805	0	0	92	8731
k141_185144	66	0	0	414
k141_106899	4	0	3	867
k141_174543	2987	0	17281	2
k141_89225	0	0	0	3261
k141_39689	0	0	6	1700
k141_25464	107	0	126	2650
k141_224086	2	0	26	900
k141_167351	99	0	5	1540
k141_153103	510	0	212	3639
k141_181505	107	0	172	3619
k141_3949	24	0	53	667
k141_32481	0	0	0	3492
k141_14578	598	0	2	1347
k141_142542	0	0	1	836
k141_39691	7	0	0	1192
k141_220518	39	0	1	7110
k141_78544	0	0	0	1661
k141_185161	1	0	1	434
k141_121168	2820	0	0	0
k141_163729	3015	0	0	0
k141_174548	45	0	7	1738
k141_135362	40	0	24	2549
k141_195825	267	0	265	416
k141_36006	0	0	0	1141
k141_64258	0	0	0	52445
k141_18305	88	0	17	1267
k141_11186	80	0	29	4344
k141_99890	26	0	55	6666
k141_181515	49	0	50	5273
k141_32496	0	0	0	734
k141_103498	372	0	298	3440
k141_75073	12386	0	70624	0
k141_110572	0	0	0	1901
k141_195830	1103	0	0	0
k141_92706	9	0	3	481
k141_138925	0	0	15	3200
k141_142553	4	0	11	861
k141_75075	82	0	7	1548
k141_85571	121	0	177	1188
k141_117620	0	0	64	8362
k141_39710	2	0	2	805
k141_3959	0	0	18	3883
k141_156868	6231	0	0	0
k141_32502	8	0	4	2614
k141_174565	0	0	0	1696
k141_18307	0	0	0	1265
k141_224095	1	0	0	4341
k141_110580	1	0	1	870
k141_50202	685	0	342	4593
k141_53784	1	0	0	425
k141_103511	10	0	0	1032
k141_209949	3	0	0	1765
k141_206275	449	0	238	19532
k141_3964	0	0	0	547
k141_14605	0	0	0	5092
k141_174568	10	0	12	358
k141_89243	317	0	403	3422
k141_99917	68	0	3	1452
k141_181538	79	0	0	640
k141_170864	82	0	139	2199
k141_138943	3	0	7	2238
k141_185181	4	0	5	1732
k141_217145	411	0	573	4813
k141_124879	0	0	0	966
k141_195851	3210	0	75	2962
k141_106957	2	0	0	1997
k141_128299	49	0	12	1914
k141_181539	4	0	3	1160
k141_7616	371	0	176	3576
k141_167364	1442	0	651	8180
k141_188731	0	0	1	1108
k141_21869	11	0	52	3706
k141_25523	1	0	2	2559
k141_57200	858	0	256	2832
k141_117633	13	0	1	1916
k141_68021	31	0	102	1564
k141_14611	4	0	3	2051
k141_217164	64	0	74	1752
k141_43169	6	0	0	904
k141_36044	4	0	35	5521
k141_3977	16	0	11	915
k141_203012	8	0	0	604
k141_185188	1	0	15	2100
k141_209957	1	0	5	2159
k141_135389	13	0	95	2844
k141_195857	0	0	26	2736
k141_64302	29	0	94	4307
k141_18330	4	0	0	7181
k141_142604	5	0	2	362
k141_39747	1	0	1	3447
k141_737	20	0	2	3041
k141_25531	1	0	3	463
