SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	ClusterCenterDist	EMN001	PYK001	TAF017	VLC001
0028	VLC_EMN_TAF_min5k_sorted_md_k141_216253_n1768	1768	1.0	0.0	0.0	0.0	0.6606	0	0	1	1770
0029	VLC_EMN_TAF_min5k_sorted_md_k141_65470_n6943	6943	1.0	0.0	0.0	0.0	0.3386	0	0	24	6922
0030	VLC_EMN_TAF_min5k_sorted_md_k141_123798_n5771	5771	1.0	0.0	0.0	0.0	0.2281	36	0	7	5733
0031	VLC_EMN_TAF_min5k_sorted_md_k141_69868_n1458	1458	1.0	0.0	0.0	0.0	0.508	0	0	0	1458
0032	VLC_EMN_TAF_min5k_sorted_md_k141_133177_n1524	1524	1.0	0.0	0.0	0.0	0.5246	13	0	3	1522
0033	VLC_EMN_TAF_min5k_sorted_md_k141_143985_n1323	1323	1.0	0.0	0.0	0.0	0.6026	1	0	2	1320
0034	VLC_EMN_TAF_min5k_sorted_md_k141_221551_n1767	1767	1.0	0.0	0.0	0.0	0.4141	4	0	0	1766
0035	VLC_EMN_TAF_min5k_sorted_md_k141_180028_n2931	2931	1.0	0.0	0.0	0.0	0.4173	2	0	2	2927
0036	VLC_EMN_TAF_min5k_sorted_md_k141_72095_n2468	2468	1.0	0.0	0.0	0.0	0.5423	1	0	8	2463
0037	VLC_EMN_TAF_min5k_sorted_md_k141_180806_n1103	1103	1.0	0.0	0.0	0.0	0.5873	8	0	0	1097
0038	VLC_EMN_TAF_min5k_sorted_md_k141_220701_n1285	1285	1.0	0.0	0.0	0.0	0.7881	105	0	190	990
0039	VLC_EMN_TAF_min5k_sorted_md_k141_168732_n10560	10560	1.0	0.0	0.0	0.0	0.3381	0	0	11	10549
0040	VLC_EMN_TAF_min5k_sorted_md_k141_93510_n666	666	1.0	0.0	0.0	0.0	0.4437	3	0	0	663
0041	VLC_EMN_TAF_min5k_sorted_md_k141_15564_n2655	2655	1.0	0.0	0.0	0.0	0.5391	2	0	0	2654
0042	VLC_EMN_TAF_min5k_sorted_md_k141_116379_n2670	2670	1.0	0.0	0.0	0.0	0.4498	0	0	28	2642
0043	VLC_EMN_TAF_min5k_sorted_md_k141_83836_n1476	1476	1.0	0.0	0.0	0.0	0.4721	0	0	0	1476
0044	VLC_EMN_TAF_min5k_sorted_md_k141_125536_n1035	1035	1.0	0.0	0.0	0.0	0.5184	0	0	3	1032
0045	VLC_EMN_TAF_min5k_sorted_md_k141_163543_n3182	3182	1.0	0.0	0.0	0.0	0.454	4	0	23	3155
0046	VLC_EMN_TAF_min5k_sorted_md_k141_125802_n4499	4499	1.0	0.0	0.0	0.0	0.4525	0	0	0	4503
0047	VLC_EMN_TAF_min5k_sorted_md_k141_148975_n1767	1767	1.0	0.0	0.0	0.0	0.3993	0	0	5	1764
0048	VLC_EMN_TAF_min5k_sorted_md_k141_54099_n12740	12740	1.0	0.0	0.0	0.0	0.4642	9	0	0	12732
0049	VLC_EMN_TAF_min5k_sorted_md_k141_52197_n629	629	1.0	0.0	0.0	0.0	1.0	30	0	173	426
0050	VLC_EMN_TAF_min5k_sorted_md_k141_173641_n1385	1385	1.0	0.0	0.0	0.0	0.399	3	0	16	1367
0051	VLC_EMN_TAF_min5k_sorted_md_k141_83102_n7228	7228	1.0	0.0	0.0	0.0	0.3527	4	0	0	7226
0052	VLC_EMN_TAF_min5k_sorted_md_k141_190943_n1581	1581	1.0	0.0	0.0	0.0	0.7051	1	0	66	1514
0053	VLC_EMN_TAF_min5k_sorted_md_k141_77698_n2891	2891	1.0	0.0	0.0	0.0	0.35	3	0	15	2876
0054	VLC_EMN_TAF_min5k_sorted_md_k141_136653_n2311	2311	1.0	0.0	0.0	0.0	0.5957	0	0	3	2308
0055	VLC_EMN_TAF_min5k_sorted_md_k141_86336_n13958	13958	1.0	0.0	0.0	0.0	0.2994	18	0	25	13918
0056	VLC_EMN_TAF_min5k_sorted_md_k141_183031_n1053	1053	1.0	0.0	0.0	0.0	0.4725	0	0	3	1052
0057	VLC_EMN_TAF_min5k_sorted_md_k141_3851_n1108	1108	1.0	0.0	0.0	0.0	0.8659	0	0	1	1107
0058	VLC_EMN_TAF_min5k_sorted_md_k141_216506_n1634	1634	1.0	0.0	0.0	0.0	0.4648	3	0	22	1609
0059	VLC_EMN_TAF_min5k_sorted_md_k141_16833_n1066	1066	1.0	0.0	0.0	0.0	0.3701	2	0	0	1064
0060	VLC_EMN_TAF_min5k_sorted_md_k141_84653_n1819	1819	1.0	0.0	0.0	0.0	0.6494	7	0	34	1780
0061	VLC_EMN_TAF_min5k_sorted_md_k141_122956_n1823	1823	1.0	0.0	0.0	0.0	0.4257	0	0	34	1789
0062	VLC_EMN_TAF_min5k_sorted_md_k141_204610_n4320	4320	1.0	0.0	0.0	0.0	0.5735	1	0	0	4320
0063	VLC_EMN_TAF_min5k_sorted_md_k141_200438_n1942	1942	1.0	0.0	0.0	0.0	0.5931	0	0	17	1926
0064	VLC_EMN_TAF_min5k_sorted_md_k141_213105_n1062	1062	1.0	0.0	0.0	0.0	0.637	0	0	2	1060
0065	VLC_EMN_TAF_min5k_sorted_md_k141_6172_n1003	1003	1.0	0.0	0.0	0.0	0.537	14	0	13	976
0066	VLC_EMN_TAF_min5k_sorted_md_k141_159631_n17363	17363	1.0	0.0	0.0	0.0	0.3409	2	0	12	17350
0067	VLC_EMN_TAF_min5k_sorted_md_k141_177597_n1799	1799	1.0	0.0	0.0	0.0	0.5535	0	0	0	1800
0068	VLC_EMN_TAF_min5k_sorted_md_k141_52728_n2278	2278	1.0	0.0	0.0	0.0	0.3933	1	0	0	2277
0069	VLC_EMN_TAF_min5k_sorted_md_k141_206240_n17393	17393	1.0	0.0	0.0	0.0	0.2237	51	0	79	17264
0070	VLC_EMN_TAF_min5k_sorted_md_k141_156298_n1237	1237	1.0	0.0	0.0	0.0	0.5593	21	0	8	1212
0071	VLC_EMN_TAF_min5k_sorted_md_k141_82510_n1025	1025	1.0	0.0	0.0	0.0	0.5516	0	0	2	1024
0072	VLC_EMN_TAF_min5k_sorted_md_k141_124123_n3919	3919	1.0	0.0	0.0	0.0	0.5191	10	0	0	3910
0073	VLC_EMN_TAF_min5k_sorted_md_k141_61150_n1236	1236	1.0	0.0	0.0	0.0	0.6105	0	0	11	1225
0074	VLC_EMN_TAF_min5k_sorted_md_k141_212154_n1613	1613	1.0	0.0	0.0	0.0	0.4727	1	0	18	1595
0075	VLC_EMN_TAF_min5k_sorted_md_k141_17977_n2096	2096	1.0	0.0	0.0	0.0	0.4692	4	0	32	2060
0076	VLC_EMN_TAF_min5k_sorted_md_k141_73381_n1006	1006	1.0	0.0	0.0	0.0	0.6319	0	0	1	1007
0077	VLC_EMN_TAF_min5k_sorted_md_k141_1761_n2042	2042	1.0	0.0	0.0	0.0	0.6144	0	0	0	2043
0078	VLC_EMN_TAF_min5k_sorted_md_k141_191295_n6640	6640	1.0	0.0	0.0	0.0	0.3688	1	0	0	6640
0079	VLC_EMN_TAF_min5k_sorted_md_k141_27105_n1780	1780	1.0	0.0	0.0	0.0	0.356	0	0	6	1774
0080	VLC_EMN_TAF_min5k_sorted_md_k141_164127_n1519	1519	1.0	0.0	0.0	0.0	0.3847	2	0	0	1517
0081	VLC_EMN_TAF_min5k_sorted_md_k141_94126_n2742	2742	1.0	0.0	0.0	0.0	0.4995	0	0	0	2743
0082	VLC_EMN_TAF_min5k_sorted_md_k141_220449_n4719	4719	1.0	0.0	0.0	0.0	0.5183	1	0	6	4714
0083	VLC_EMN_TAF_min5k_sorted_md_k141_108508_n9037	9037	1.0	0.0	0.0	0.0	0.3942	4	0	0	9033
0084	VLC_EMN_TAF_min5k_sorted_md_k141_68839_n3041	3041	1.0	0.0	0.0	0.0	0.288	0	0	1	3040
0085	VLC_EMN_TAF_min5k_sorted_md_k141_14623_n2679	2679	1.0	0.0	0.0	0.0	0.3371	3	0	14	2666
0086	VLC_EMN_TAF_min5k_sorted_md_k141_79663_n1415	1415	1.0	0.0	0.0	0.0	0.4631	0	0	15	1401
0087	VLC_EMN_TAF_min5k_sorted_md_k141_154395_n1619	1619	1.0	0.0	0.0	0.0	0.7885	0	0	0	1628
0088	VLC_EMN_TAF_min5k_sorted_md_k141_10544_n1584	1584	1.0	0.0	0.0	0.0	0.4223	0	0	15	1569
0089	VLC_EMN_TAF_min5k_sorted_md_k141_135616_n1375	1375	1.0	0.0	0.0	0.0	0.7266	0	0	0	1376
0090	VLC_EMN_TAF_min5k_sorted_md_k141_161207_n2302	2302	1.0	0.0	0.0	0.0	0.5187	0	0	18	2285
0091	VLC_EMN_TAF_min5k_sorted_md_k141_194481_n1071	1071	1.0	0.0	0.0	0.0	0.5312	0	0	0	1071
0092	VLC_EMN_TAF_min5k_sorted_md_k141_157879_n1147	1147	1.0	0.0	0.0	0.0	0.3408	0	0	0	1147
0093	VLC_EMN_TAF_min5k_sorted_md_k141_106387_n1729	1729	1.0	0.0	0.0	0.0	0.6092	4	0	0	1725
0094	VLC_EMN_TAF_min5k_sorted_md_k141_30118_n1602	1602	1.0	0.0	0.0	0.0	0.6185	0	0	27	1575
0095	VLC_EMN_TAF_min5k_sorted_md_k141_120624_n1085	1085	1.0	0.0	0.0	0.0	0.5577	3	0	50	1032
0096	VLC_EMN_TAF_min5k_sorted_md_k141_76771_n1416	1416	1.0	0.0	0.0	0.0	0.7576	0	0	0	1416
0097	VLC_EMN_TAF_min5k_sorted_md_k141_193301_n1450	1450	1.0	0.0	0.0	0.0	0.5351	0	0	10	1440
0098	VLC_EMN_TAF_min5k_sorted_md_k141_8371_n10459	10459	1.0	0.0	0.0	0.0	0.2909	13	0	3	10446
0099	VLC_EMN_TAF_min5k_sorted_md_k141_225760_n1679	1679	1.0	0.0	0.0	0.0	0.3458	1	0	2	1676
0100	VLC_EMN_TAF_min5k_sorted_md_k141_33600_n338	338	1.0	0.0	0.0	0.0	0.8023	5	0	9	324
0101	VLC_EMN_TAF_min5k_sorted_md_k141_85450_n7409	7409	1.0	0.0	0.0	0.0	0.3194	10	0	8	7391
0102	VLC_EMN_TAF_min5k_sorted_md_k141_193875_n3083	3083	1.0	0.0	0.0	0.0	0.3599	1	0	0	3083
0103	VLC_EMN_TAF_min5k_sorted_md_k141_7206_n1052	1052	1.0	0.0	0.0	0.0	0.439	0	0	3	1049
0104	VLC_EMN_TAF_min5k_sorted_md_k141_113438_n3746	3746	1.0	0.0	0.0	0.0	0.4545	3	0	26	3717
0105	VLC_EMN_TAF_min5k_sorted_md_k141_191057_n1183	1183	1.0	0.0	0.0	0.0	0.5727	6	0	0	1177
0106	VLC_EMN_TAF_min5k_sorted_md_k141_145511_n1086	1086	1.0	0.0	0.0	0.0	0.7106	8	0	3	1075
0107	VLC_EMN_TAF_min5k_sorted_md_k141_133789_n6900	6900	1.0	0.0	0.0	0.0	0.3595	2	0	11	6888
0108	VLC_EMN_TAF_min5k_sorted_md_k141_178916_n1268	1268	1.0	0.0	0.0	0.0	0.5552	3	0	11	1254
0109	VLC_EMN_TAF_min5k_sorted_md_k141_226742_n1887	1887	1.0	0.0	0.0	0.0	0.2779	8	0	2	1878
0110	VLC_EMN_TAF_min5k_sorted_md_k141_99943_n2244	2244	1.0	0.0	0.0	0.0	0.4089	0	0	1	2245
0111	VLC_EMN_TAF_min5k_sorted_md_k141_121212_n1467	1467	1.0	0.0	0.0	0.0	0.3917	0	0	4	1463
0112	VLC_EMN_TAF_min5k_sorted_md_k141_201770_n11657	11657	1.0	0.0	0.0	0.0	0.4606	0	0	0	11657
0113	VLC_EMN_TAF_min5k_sorted_md_k141_99385_n2325	2325	1.0	0.0	0.0	0.0	0.4317	0	0	17	2309
0114	VLC_EMN_TAF_min5k_sorted_md_k141_20513_n1596	1596	1.0	0.0	0.0	0.0	0.6666	4	0	15	1578
0115	VLC_EMN_TAF_min5k_sorted_md_k141_224934_n1655	1655	1.0	0.0	0.0	0.0	0.7134	1	0	1	1654
0116	VLC_EMN_TAF_min5k_sorted_md_k141_135687_n9634	9634	1.0	0.0	0.0	0.0	0.3895	0	0	4	9631
0117	VLC_EMN_TAF_min5k_sorted_md_k141_215429_n1217	1217	1.0	0.0	0.0	0.0	0.5805	0	0	2	1218
0118	VLC_EMN_TAF_min5k_sorted_md_k141_96248_n1010	1010	1.0	0.0	0.0	0.0	0.407	0	0	0	1011
0119	VLC_EMN_TAF_min5k_sorted_md_k141_83821_n4377	4377	1.0	0.0	0.0	0.0	0.3216	0	0	8	4370
0120	VLC_EMN_TAF_min5k_sorted_md_k141_161769_n1472	1472	1.0	0.0	0.0	0.0	0.5808	0	0	2	1470
0121	VLC_EMN_TAF_min5k_sorted_md_k141_133062_n2075	2075	1.0	0.0	0.0	0.0	0.5651	0	0	0	2078
0122	VLC_EMN_TAF_min5k_sorted_md_k141_189762_n1182	1182	1.0	0.0	0.0	0.0	0.3887	2	0	11	1169
0123	VLC_EMN_TAF_min5k_sorted_md_k141_88125_n1182	1182	1.0	0.0	0.0	0.0	0.553	0	0	0	1184
0124	VLC_EMN_TAF_min5k_sorted_md_k141_150718_n25194	25194	1.0	0.0	0.0	0.0	0.3528	6	0	21	25171
0125	VLC_EMN_TAF_min5k_sorted_md_k141_91170_n1278	1278	1.0	0.0	0.0	0.0	0.5796	1	0	1	1276
0126	VLC_EMN_TAF_min5k_sorted_md_k141_88028_n2111	2111	1.0	0.0	0.0	0.0	0.6879	0	0	0	2120
0127	VLC_EMN_TAF_min5k_sorted_md_k141_204009_n1261	1261	1.0	0.0	0.0	0.0	0.7113	0	0	2	1259
0128	VLC_EMN_TAF_min5k_sorted_md_k141_12813_n11222	11222	1.0	0.0	0.0	0.0	0.386	1	0	14	11211
0129	VLC_EMN_TAF_min5k_sorted_md_k141_133185_n1392	1392	1.0	0.0	0.0	0.0	0.5954	3	0	21	1369
0130	VLC_EMN_TAF_min5k_sorted_md_k141_48029_n1466	1466	1.0	0.0	0.0	0.0	0.4645	0	0	0	1467
0131	VLC_EMN_TAF_min5k_sorted_md_k141_110536_n2070	2070	1.0	0.0	0.0	0.0	0.3098	5	0	2	2063
0132	VLC_EMN_TAF_min5k_sorted_md_k141_130523_n1053	1053	1.0	0.0	0.0	0.0	0.4434	0	0	0	1053
0133	VLC_EMN_TAF_min5k_sorted_md_k141_110572_n1901	1901	1.0	0.0	0.0	0.0	0.4483	0	0	0	1901
0134	VLC_EMN_TAF_min5k_sorted_md_k141_114078_n5625	5625	1.0	0.0	0.0	0.0	0.4928	1	0	5	5623
0135	VLC_EMN_TAF_min5k_sorted_md_k141_3949_n744	744	1.0	0.0	0.0	0.0	0.7763	24	0	53	667
0136	VLC_EMN_TAF_min5k_sorted_md_k141_190048_n1794	1794	1.0	0.0	0.0	0.0	0.3731	2	0	17	1775
0137	VLC_EMN_TAF_min5k_sorted_md_k141_158829_n1355	1355	1.0	0.0	0.0	0.0	0.672	1	0	19	1336
0138	VLC_EMN_TAF_min5k_sorted_md_k141_109970_n1427	1427	1.0	0.0	0.0	0.0	0.5362	0	0	0	1427
0139	VLC_EMN_TAF_min5k_sorted_md_k141_55117_n1420	1420	1.0	0.0	0.0	0.0	0.4345	2	0	21	1397
0140	VLC_EMN_TAF_min5k_sorted_md_k141_144138_n1298	1298	1.0	0.0	0.0	0.0	0.4932	2	0	22	1274
0141	VLC_EMN_TAF_min5k_sorted_md_k141_100703_n5111	5111	1.0	0.0	0.0	0.0	0.3056	0	0	0	5118
0142	VLC_EMN_TAF_min5k_sorted_md_k141_104671_n3062	3062	1.0	0.0	0.0	0.0	0.5218	1	0	0	3061
0143	VLC_EMN_TAF_min5k_sorted_md_k141_80041_n1071	1071	1.0	0.0	0.0	0.0	0.445	0	0	0	1071
0144	VLC_EMN_TAF_min5k_sorted_md_k141_149828_n5548	5548	1.0	0.0	0.0	0.0	0.3612	2	0	1	5545
0145	VLC_EMN_TAF_min5k_sorted_md_k141_30014_n1627	1627	1.0	0.0	0.0	0.0	0.4714	2	0	33	1592
0146	VLC_EMN_TAF_min5k_sorted_md_k141_204947_n1310	1310	1.0	0.0	0.0	0.0	0.6101	9	0	31	1270
0147	VLC_EMN_TAF_min5k_sorted_md_k141_222170_n7150	7150	1.0	0.0	0.0	0.0	0.3838	3	0	5	7143
0148	VLC_EMN_TAF_min5k_sorted_md_k141_84916_n1070	1070	1.0	0.0	0.0	0.0	0.8253	0	0	0	1071
0149	VLC_EMN_TAF_min5k_sorted_md_k141_19297_n1005	1005	1.0	0.0	0.0	0.0	0.8062	0	0	4	1001
0150	VLC_EMN_TAF_min5k_sorted_md_k141_140984_n1513	1513	1.0	0.0	0.0	0.0	0.5582	11	0	0	1503
0151	VLC_EMN_TAF_min5k_sorted_md_k141_139821_n2367	2367	1.0	0.0	0.0	0.0	0.6094	2	0	11	2354
0152	VLC_EMN_TAF_min5k_sorted_md_k141_58354_n678	678	1.0	0.0	0.0	0.0	0.9834	10	0	69	599
0153	VLC_EMN_TAF_min5k_sorted_md_k141_160782_n3331	3331	1.0	0.0	0.0	0.0	0.4133	0	0	0	3335
0154	VLC_EMN_TAF_min5k_sorted_md_k141_92398_n12814	12814	1.0	0.0	0.0	0.0	0.2927	0	0	1	12813
0155	VLC_EMN_TAF_min5k_sorted_md_k141_149067_n1133	1133	1.0	0.0	0.0	0.0	0.5118	0	0	8	1129
0156	VLC_EMN_TAF_min5k_sorted_md_k141_217760_n1280	1280	1.0	0.0	0.0	0.0	0.3839	2	0	23	1255
0157	VLC_EMN_TAF_min5k_sorted_md_k141_113123_n4987	4987	1.0	0.0	0.0	0.0	0.5757	0	0	26	4963
0158	VLC_EMN_TAF_min5k_sorted_md_k141_102880_n4074	4074	1.0	0.0	0.0	0.0	0.3103	1	0	0	4074
0159	VLC_EMN_TAF_min5k_sorted_md_k141_107139_n1299	1299	1.0	0.0	0.0	0.0	0.6229	0	0	0	1300
0160	VLC_EMN_TAF_min5k_sorted_md_k141_54539_n2400	2400	1.0	0.0	0.0	0.0	0.4349	7	0	5	2390
0161	VLC_EMN_TAF_min5k_sorted_md_k141_206781_n1356	1356	1.0	0.0	0.0	0.0	0.5423	3	0	29	1324
0162	VLC_EMN_TAF_min5k_sorted_md_k141_170543_n1058	1058	1.0	0.0	0.0	0.0	0.7175	7	0	0	1052
0163	VLC_EMN_TAF_min5k_sorted_md_k141_191574_n1558	1558	1.0	0.0	0.0	0.0	0.5897	0	0	0	1558
0164	VLC_EMN_TAF_min5k_sorted_md_k141_153063_n1949	1949	1.0	0.0	0.0	0.0	0.666	0	0	0	1950
0165	VLC_EMN_TAF_min5k_sorted_md_k141_159560_n1069	1069	1.0	0.0	0.0	0.0	0.5298	5	0	0	1064
0166	VLC_EMN_TAF_min5k_sorted_md_k141_111441_n384	384	1.0	0.0	0.0	0.0	0.8506	40	0	0	346
0167	VLC_EMN_TAF_min5k_sorted_md_k141_153664_n3223	3223	1.0	0.0	0.0	0.0	0.6195	2	0	0	3231
0168	VLC_EMN_TAF_min5k_sorted_md_k141_195147_n1420	1420	1.0	0.0	0.0	0.0	0.7821	108	0	181	1131
0169	VLC_EMN_TAF_min5k_sorted_md_k141_209949_n1768	1768	1.0	0.0	0.0	0.0	0.5023	3	0	0	1765
0170	VLC_EMN_TAF_min5k_sorted_md_k141_51912_n2402	2402	1.0	0.0	0.0	0.0	0.4395	8	0	11	2383
0171	VLC_EMN_TAF_min5k_sorted_md_k141_154031_n1733	1733	1.0	0.0	0.0	0.0	0.628	0	0	1	1733
0172	VLC_EMN_TAF_min5k_sorted_md_k141_96823_n1008	1008	1.0	0.0	0.0	0.0	0.6127	0	0	2	1006
0173	VLC_EMN_TAF_min5k_sorted_md_k141_5396_n1436	1436	1.0	0.0	0.0	0.0	0.4166	4	0	19	1413
0174	VLC_EMN_TAF_min5k_sorted_md_k141_102623_n1085	1085	1.0	0.0	0.0	0.0	0.6243	0	0	0	1085
0175	VLC_EMN_TAF_min5k_sorted_md_k141_26139_n1013	1013	1.0	0.0	0.0	0.0	0.5212	0	0	0	1013
0176	VLC_EMN_TAF_min5k_sorted_md_k141_114261_n1200	1200	1.0	0.0	0.0	0.0	0.6059	0	0	0	1200
0177	VLC_EMN_TAF_min5k_sorted_md_k141_152410_n1379	1379	1.0	0.0	0.0	0.0	0.7472	1	0	0	1378
0178	VLC_EMN_TAF_min5k_sorted_md_k141_184243_n4298	4298	1.0	0.0	0.0	0.0	0.3859	1	0	0	4299
0179	VLC_EMN_TAF_min5k_sorted_md_k141_149051_n1380	1380	1.0	0.0	0.0	0.0	0.5371	1	0	15	1364
0180	VLC_EMN_TAF_min5k_sorted_md_k141_84765_n1394	1394	1.0	0.0	0.0	0.0	0.444	2	0	11	1382
0181	VLC_EMN_TAF_min5k_sorted_md_k141_193234_n1349	1349	1.0	0.0	0.0	0.0	0.4461	0	0	0	1349
0182	VLC_EMN_TAF_min5k_sorted_md_k141_8877_n2240	2240	1.0	0.0	0.0	0.0	0.3464	6	0	8	2228
0183	VLC_EMN_TAF_min5k_sorted_md_k141_122504_n5319	5319	1.0	0.0	0.0	0.0	0.3933	2	0	0	5318
0184	VLC_EMN_TAF_min5k_sorted_md_k141_39620_n1323	1323	1.0	0.0	0.0	0.0	0.5692	0	0	19	1307
0185	VLC_EMN_TAF_min5k_sorted_md_k141_11195_n20132	20132	1.0	0.0	0.0	0.0	0.1654	145	0	99	19888
0186	VLC_EMN_TAF_min5k_sorted_md_k141_167856_n1288	1288	1.0	0.0	0.0	0.0	0.4254	2	0	14	1272
0187	VLC_EMN_TAF_min5k_sorted_md_k141_138943_n2248	2248	1.0	0.0	0.0	0.0	0.5927	3	0	7	2238
0188	VLC_EMN_TAF_min5k_sorted_md_k141_195111_n2394	2394	1.0	0.0	0.0	0.0	0.4826	0	0	0	2394
0189	VLC_EMN_TAF_min5k_sorted_md_k141_31527_n13340	13340	1.0	0.0	0.0	0.0	0.2897	10	0	21	13309
0190	VLC_EMN_TAF_min5k_sorted_md_k141_154309_n1734	1734	1.0	0.0	0.0	0.0	0.3625	1	0	0	1733
0191	VLC_EMN_TAF_min5k_sorted_md_k141_185340_n1737	1737	1.0	0.0	0.0	0.0	0.4212	4	0	1	1733
0192	VLC_EMN_TAF_min5k_sorted_md_k141_182977_n1668	1668	1.0	0.0	0.0	0.0	0.5865	0	0	39	1630
0193	VLC_EMN_TAF_min5k_sorted_md_k141_114092_n15965	15965	1.0	0.0	0.0	0.0	0.4514	0	0	4	15964
0194	VLC_EMN_TAF_min5k_sorted_md_k141_193961_n1645	1645	1.0	0.0	0.0	0.0	0.4352	4	0	27	1614
0195	VLC_EMN_TAF_min5k_sorted_md_k141_189710_n2743	2743	1.0	0.0	0.0	0.0	0.552	0	0	0	2743
0196	VLC_EMN_TAF_min5k_sorted_md_k141_89225_n3246	3246	1.0	0.0	0.0	0.0	0.401	0	0	0	3261
0197	VLC_EMN_TAF_min5k_sorted_md_k141_187164_n8509	8509	1.0	0.0	0.0	0.0	0.3332	1	0	39	8469
0198	VLC_EMN_TAF_min5k_sorted_md_k141_164615_n1557	1557	1.0	0.0	0.0	0.0	0.4702	0	0	0	1557
0199	VLC_EMN_TAF_min5k_sorted_md_k141_180244_n12780	12780	1.0	0.0	0.0	0.0	0.2354	7	0	10	12763
0200	VLC_EMN_TAF_min5k_sorted_md_k141_132203_n1466	1466	1.0	0.0	0.0	0.0	0.4693	0	0	1	1465
0201	VLC_EMN_TAF_min5k_sorted_md_k141_222867_n5083	5083	1.0	0.0	0.0	0.0	0.2732	3	0	2	5078
0202	VLC_EMN_TAF_min5k_sorted_md_k141_51200_n1114	1114	1.0	0.0	0.0	0.0	0.7032	3	0	0	1111
0203	VLC_EMN_TAF_min5k_sorted_md_k141_49401_n944	944	1.0	0.0	0.0	0.0	0.5702	3	0	16	925
0204	VLC_EMN_TAF_min5k_sorted_md_k141_197811_n3116	3116	1.0	0.0	0.0	0.0	0.6227	1	0	40	3075
