SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	ClusterCenterDist
0031	VLC_EMN_TAF_min10k_sorted_md_k141_27105_n1780	1780	1.0	0.0	0.0	0.0	0.0	0.0	0.4282
0032	VLC_EMN_TAF_min10k_sorted_md_k141_184243_n4370	4370	1.0	0.0	0.0	0.0	0.0	0.0	0.3511
0033	VLC_EMN_TAF_min10k_sorted_md_k141_168732_n10640	10640	1.0	0.0	0.0	0.0	0.0	0.0	0.3037
0034	VLC_EMN_TAF_min10k_sorted_md_k141_82510_n1025	1025	1.0	0.0	0.0	0.0	0.0	0.0	0.6863
0035	VLC_EMN_TAF_min10k_sorted_md_k141_26139_n1013	1013	1.0	0.0	0.0	0.0	0.0	0.0	0.5556
0036	VLC_EMN_TAF_min10k_sorted_md_k141_52728_n2278	2278	1.0	0.0	0.0	0.0	0.0	0.0	0.4897
0037	VLC_EMN_TAF_min10k_sorted_md_k141_36562_n1101	1101	1.0	0.0	0.0	0.0	0.0	0.0	0.5196
0038	VLC_EMN_TAF_min10k_sorted_md_k141_118547_n1183	1183	1.0	0.0	0.0	0.0	0.0	0.0	0.752
0039	VLC_EMN_TAF_min10k_sorted_md_k141_12813_n11232	11232	1.0	0.0	0.0	0.0	0.0	0.0	0.3336
0040	VLC_EMN_TAF_min10k_sorted_md_k141_44141_n5376	5376	1.0	0.0	0.0	0.0	0.0	0.0	0.2971
0041	VLC_EMN_TAF_min10k_sorted_md_k141_206786_n6181	6181	1.0	0.0	0.0	0.0	0.0	0.0	0.3442
0042	VLC_EMN_TAF_min10k_sorted_md_k141_191295_n6645	6645	1.0	0.0	0.0	0.0	0.0	0.0	0.2973
0043	VLC_EMN_TAF_min10k_sorted_md_k141_222170_n7153	7153	1.0	0.0	0.0	0.0	0.0	0.0	0.341
0044	VLC_EMN_TAF_min10k_sorted_md_k141_163543_n3243	3243	1.0	0.0	0.0	0.0	0.0	0.0	0.4486
0045	VLC_EMN_TAF_min10k_sorted_md_k141_114261_n1200	1200	1.0	0.0	0.0	0.0	0.0	0.0	0.6683
0046	VLC_EMN_TAF_min10k_sorted_md_k141_162352_n1362	1362	1.0	0.0	0.0	0.0	0.0	0.0	0.6352
0047	VLC_EMN_TAF_min10k_sorted_md_k141_89616_n1083	1083	1.0	0.0	0.0	0.0	0.0	0.0	0.6875
0048	VLC_EMN_TAF_min10k_sorted_md_k141_130738_n1761	1761	1.0	0.0	0.0	0.0	0.0	0.0	0.5845
0049	VLC_EMN_TAF_min10k_sorted_md_k141_92871_n24877	24877	1.0	0.0	0.0	0.0	0.0	0.0	0.272
0050	VLC_EMN_TAF_min10k_sorted_md_k141_85450_n7428	7428	1.0	0.0	0.0	0.0	0.0	0.0	0.2889
0051	VLC_EMN_TAF_min10k_sorted_md_k141_192547_n5420	5420	1.0	0.0	0.0	0.0	0.0	0.0	0.4888
0052	VLC_EMN_TAF_min10k_sorted_md_k141_190943_n1581	1581	1.0	0.0	0.0	0.0	0.0	0.0	0.9318
0053	VLC_EMN_TAF_min10k_sorted_md_k141_170740_n15761	15761	1.0	0.0	0.0	0.0	0.0	0.0	0.1566
0054	VLC_EMN_TAF_min10k_sorted_md_k141_121212_n1467	1467	1.0	0.0	0.0	0.0	0.0	0.0	0.4719
0055	VLC_EMN_TAF_min10k_sorted_md_k141_198124_n2364	2364	1.0	0.0	0.0	0.0	0.0	0.0	0.5181
0056	VLC_EMN_TAF_min10k_sorted_md_k141_201770_n11662	11662	1.0	0.0	0.0	0.0	0.0	0.0	0.4196
0057	VLC_EMN_TAF_min10k_sorted_md_k141_109638_n5472	5472	1.0	0.0	0.0	0.0	0.0	0.0	0.2398
0058	VLC_EMN_TAF_min10k_sorted_md_k141_8371_n10561	10561	1.0	0.0	0.0	0.0	0.0	0.0	0.1743
0059	VLC_EMN_TAF_min10k_sorted_md_k141_76771_n1416	1416	1.0	0.0	0.0	0.0	0.0	0.0	0.7947
0060	VLC_EMN_TAF_min10k_sorted_md_k141_115969_n10829	10829	1.0	0.0	0.0	0.0	0.0	0.0	0.3468
0061	VLC_EMN_TAF_min10k_sorted_md_k141_7206_n1052	1052	1.0	0.0	0.0	0.0	0.0	0.0	0.563
0062	VLC_EMN_TAF_min10k_sorted_md_k141_18307_n1265	1265	1.0	0.0	0.0	0.0	0.0	0.0	0.778
0063	VLC_EMN_TAF_min10k_sorted_md_k141_54099_n12741	12741	1.0	0.0	0.0	0.0	0.0	0.0	0.4249
0064	VLC_EMN_TAF_min10k_sorted_md_k141_133789_n6948	6948	1.0	0.0	0.0	0.0	0.0	0.0	0.3063
0065	VLC_EMN_TAF_min10k_sorted_md_k141_149828_n5558	5558	1.0	0.0	0.0	0.0	0.0	0.0	0.2787
0066	VLC_EMN_TAF_min10k_sorted_md_k141_122504_n5323	5323	1.0	0.0	0.0	0.0	0.0	0.0	0.3847
0067	VLC_EMN_TAF_min10k_sorted_md_k141_154962_n9690	9690	1.0	0.0	0.0	0.0	0.0	0.0	0.3751
0068	VLC_EMN_TAF_min10k_sorted_md_k141_108886_n12059	12059	1.0	0.0	0.0	0.0	0.0	0.0	0.2632
0069	VLC_EMN_TAF_min10k_sorted_md_k141_150718_n25223	25223	1.0	0.0	0.0	0.0	0.0	0.0	0.2582
0070	VLC_EMN_TAF_min10k_sorted_md_k141_161843_n1145	1145	1.0	0.0	0.0	0.0	0.0	0.0	0.5059
0071	VLC_EMN_TAF_min10k_sorted_md_k141_215429_n1217	1217	1.0	0.0	0.0	0.0	0.0	0.0	0.7238
0072	VLC_EMN_TAF_min10k_sorted_md_k141_66067_n1655	1655	1.0	0.0	0.0	0.0	0.0	0.0	0.6925
0073	VLC_EMN_TAF_min10k_sorted_md_k141_180244_n12781	12781	1.0	0.0	0.0	0.0	0.0	0.0	0.1774
